ToyCar
section,AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.8692000000000001,0.43220000000000003,0.5194736842105263,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
01,0.9156000000000001,0.40900000000000003,0.5463157894736842,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
02,0.9945999999999999,0.2774,0.5478947368421052,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
arithmetic mean,0.9264666666666667,0.3728666666666667,0.5378947368421053,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
harmonic mean,0.9236190128298637,0.35869575011799026,0.537573079337275,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666

ToyTrain
section,AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.6856,0.332,0.5252631578947369,0.0,0.0,0.0,0.0,0.0,0.0
01,0.8032,0.3054,0.5094736842105263,0.0,0.0,0.0,0.0,0.0,0.0
02,0.8452000000000001,0.15119999999999997,0.48157894736842105,0.0,0.0,0.0,0.0,0.0,0.0
arithmetic mean,0.778,0.26286666666666664,0.5054385964912281,0.0,0.0,0.0,0.0,0.0,0.0
harmonic mean,0.77185343489089,0.23255455127956198,0.5047853427693839,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16

bearing
section,AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.5955999999999999,0.639,0.5047368421052632,0.5,0.5434782608695652,1.0,1.0,0.6666666666666666,0.704225352112676
01,0.7120000000000001,0.6103999999999999,0.5536842105263158,0.5,0.5050505050505051,1.0,1.0,0.6666666666666666,0.6711409395973155
02,0.4162,0.5222,0.48578947368421055,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
arithmetic mean,0.5745999999999999,0.5905333333333334,0.5147368421052632,0.5,0.5161762553066901,1.0,1.0,0.6666666666666666,0.6806776527922193
harmonic mean,0.5468301138443685,0.5861446747660786,0.513187290498229,0.5,0.5154639175257731,1.0,1.0,0.6666666666666666,0.6802721088435374

fan
section,AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.8474,0.4158,0.6136842105263158,0.8148148148148148,0.4897959183673469,0.44,0.96,0.5714285714285714,0.6486486486486486
01,0.7238000000000001,0.4508,0.5152631578947369,0.5714285714285714,0.5119047619047619,0.48,0.86,0.5217391304347826,0.6417910447761195
02,0.8572,0.607,0.6389473684210527,0.7169811320754716,0.5232558139534884,0.76,0.9,0.7378640776699028,0.661764705882353
arithmetic mean,0.8094666666666667,0.4912,0.5892982456140351,0.7010748394396192,0.5083188314085324,0.5599999999999999,0.9066666666666666,0.6103439265110856,0.6507347997690404
harmonic mean,0.8046635583710147,0.4784133914523863,0.5841880642564521,0.6861833105335158,0.5079351190541295,0.5289279437609842,0.9048222113979542,0.5973799126637553,0.6506297546828811

gearbox
section,AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.6511999999999999,0.6466,0.6057894736842105,0.5161290322580645,0.5176470588235295,0.96,0.88,0.6713286713286712,0.6518518518518519
01,0.6846000000000001,0.5842,0.5336842105263158,0.6785714285714286,0.5625,0.38,0.36,0.48717948717948717,0.43902439024390244
02,0.7605999999999999,0.6523999999999999,0.6015789473684211,0.7083333333333334,0.603448275862069,0.68,0.7,0.6938775510204083,0.6481481481481481
arithmetic mean,0.6988,0.6277333333333333,0.5803508771929824,0.6343445980542755,0.5611984448951994,0.6733333333333333,0.6466666666666666,0.6174619031761889,0.5796747967479675
harmonic mean,0.6958804985945611,0.6261615679630228,0.5783915284655754,0.6220260782347041,0.5589986959385881,0.5832225705329153,0.5615124915597569,0.6019996764277624,0.5602527739788322

slider
section,AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.8198,0.5728,0.628421052631579,0.8125,0.5409836065573771,0.52,0.66,0.6341463414634146,0.5945945945945946
01,0.6722,0.4936,0.5326315789473685,0.6428571428571429,0.5789473684210527,0.18,0.22,0.28124999999999994,0.3188405797101449
02,0.8726,0.40040000000000003,0.5452631578947369,0.875,0.49411764705882355,0.42,0.84,0.5675675675675675,0.6222222222222222
arithmetic mean,0.7882000000000001,0.4889333333333334,0.5687719298245615,0.7767857142857143,0.5380162073457511,0.3733333333333333,0.5733333333333334,0.49432130301032734,0.5118857988423205
harmonic mean,0.7785205853963194,0.4785265606704069,0.5657455792862599,0.7635177128651337,0.5357557015848473,0.30427244582043345,0.4137313432835821,0.4351368104135305,0.46690247599797874

valve
section,AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.536,0.5268,0.5231578947368422,0.7142857142857143,0.5,0.2,0.16,0.3125,0.24242424242424243
01,0.5022,0.5172,0.49894736842105264,0.5789473684210527,0.4375,0.22,0.14,0.3188405797101449,0.21212121212121213
02,0.5222,0.4342,0.4921052631578947,0.375,0.5263157894736842,0.12,0.2,0.18181818181818182,0.28985507246376807
arithmetic mean,0.5201333333333333,0.4927333333333333,0.5047368421052632,0.5560776942355891,0.487938596491228,0.18000000000000002,0.16666666666666666,0.27105292050944224,0.2481335090030742
